moviedialog_id	moviedialog_desc	moviedialog_prof0_trans_id	moviedialog_prof1_trans_id	moviedialog_prof2_trans_id	moviedialog_endscript	moviedialog_stage0_movieid	moviedialog_stage0_subtitle	moviedialog_stage0_npc_tmpid	moviedialog_stage0_action_idx	moviedialog_stage1_movieid	moviedialog_stage1_subtitle	moviedialog_stage1_npc_tmpid	moviedialog_stage1_action_idx	moviedialog_stage2_movieid	moviedialog_stage2_subtitle	moviedialog_stage2_npc_tmpid	moviedialog_stage2_action_idx	moviedialog_stage3_movieid	moviedialog_stage3_subtitle	moviedialog_stage3_npc_tmpid	moviedialog_stage3_action_idx	moviedialog_stage4_movieid	moviedialog_stage4_subtitle	moviedialog_stage4_npc_tmpid	moviedialog_stage4_action_idx	moviedialog_stage5_movieid	moviedialog_stage5_subtitle	moviedialog_stage5_npc_tmpid	moviedialog_stage5_action_idx	moviedialog_stage6_movieid	moviedialog_stage6_subtitle	moviedialog_stage6_npc_tmpid	moviedialog_stage6_action_idx	moviedialog_stage7_movieid	moviedialog_stage7_subtitle	moviedialog_stage7_npc_tmpid	moviedialog_stage7_action_idx	moviedialog_stage8_movieid	moviedialog_stage8_subtitle	moviedialog_stage8_npc_tmpid	moviedialog_stage8_action_idx	moviedialog_stage9_movieid	moviedialog_stage9_subtitle	moviedialog_stage9_npc_tmpid	moviedialog_stage9_action_idx	moviedialog_stage10_movieid	moviedialog_stage10_subtitle	moviedialog_stage10_npc_tmpid	moviedialog_stage10_action_idx	moviedialog_stage11_movieid	moviedialog_stage11_subtitle	moviedialog_stage11_npc_tmpid	moviedialog_stage11_action_idx	moviedialog_stage12_movieid	moviedialog_stage12_subtitle	moviedialog_stage12_npc_tmpid	moviedialog_stage12_action_idx	moviedialog_stage13_movieid	moviedialog_stage13_subtitle	moviedialog_stage13_npc_tmpid	moviedialog_stage13_action_idx	moviedialog_stage14_movieid	moviedialog_stage14_subtitle	moviedialog_stage14_npc_tmpid	moviedialog_stage14_action_idx
10	3级 第2个对话 交	0	0	0		0	我是<PL=N>，你看起来一脸着急…是出什么事了吗？	0	80	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
11	3级 第3个对话 接	0	0	0		0	…我妹妹昨天傍晚出门，到现在还没回来。我担心她去了城外…可我腿受伤了，没法出城寻找…	49	80	0	兽人最近非常躁动，城外很不安全...我害怕她遇到危险…<PL=N>，能帮我找找吗？	49	104	0	没问题，交给我吧！正好我要去调查兽人…	0	80	0	等等，以防万一，我还是教你些防身的技艺！	49	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
12	3级 第4个对话 交 	0	0	0		0		0	80	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
13	4级 第1个对话 接	0	0	0	NpcSet:FindNpcByTemplateID(49):TalkAroundID(387,0)	0	她一定会没事的，我和你分头去找，你在城内打听下有没有人见过她…	0	80	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
14	4级 第2个对话 交	0	0	0		0	抱歉，还是没有找到你妹妹…	0	-1	0	不过，之前我在城外好像听到有人呼救，当时还以为听错了…现在看来，很可能就是黛西！	0	80	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
15	5级 第3个对话 接	0	0	0		0	放心吧！我一定会救出黛西！	0	80	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
16	5级 第4个对话 交	0	0	0		0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
17	5级 第1个对话 接	0	0	0	NpcSet:FindNpcByTemplateID(49):TalkAroundID(389,0)	222		0	80	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
18	6级 第2个对话 交	0	0	0		0	米恩，你应该很了解兽人的事情吧…	0	80	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
19	6级 第3个对话 接	0	0	0		0	我有个朋友受了伤，能帮忙看下伤口吗？	0	80	0	可以！让我先见见你的朋友~	48	75	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
20	6级 第4个对话 交	0	0	0		0	（激动）冰雪女王！没想到居然是你！	48	80	0	咦？你们认识…	0	80	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
21	7级 第1个对话 接	0	0	0	NpcSet:FindNpcByTemplateID(48):TalkAroundID(391,0)	0	你怎么会和<PL=N>在一起？	48	104	0	是<PL=N>救了我，我叛出了黑暗教会，遭到追杀…	350	-1	0	黑暗教会？！不是三百年前就消失了？	48	80	0	他们一直躲在暗处…试图…复活魔王！现在兽人也投靠了黑暗教会…	350	-1	0	…天呐！他们不知道魔王复活意味什么吗？！	48	80	0	难道他们抓走格尼薇儿，和复活魔王有关？	0	80	0	格尼薇儿？名字有点耳熟…似乎听兽人提过…	48	75	0	既然如此，我们去调查下兽人吧…	0	80	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
22	废	0	0	0		0	他们一直躲在暗处…试图…复活魔王！现在兽人也投靠了黑暗教会…	350	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
23	废	0	0	0	NpcSet:FindNpcByTemplateID(48):TalkAroundID(391,0)	0	难道他们抓走格尼薇儿，和复活魔王有关？	0	80	0	格尼薇儿？名字有点耳熟…似乎听兽人提起过…	48	-1	0	既然如此，我们去调查下兽人吧…	0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
24	7级 第2个对话 交	0	0	0		0	谢谢你救了我…	47	80	0	兽人为什么要抓你？	0	80	0	因为我听到它们的秘密…	47	79	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
25	8级 第1个对话 接	0	0	0		0	什么秘密？	0	80	0	它们抓了一个女孩…要带去叫失落之地的地方…还提到了魔王复活！太可怕了！	47	80	0	抓的一定是格尼薇儿！我要找兽人弄明白！	0	80	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
26	8级 第2个对话 交	0	0	0		0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
27	9级 第3个对话 接	0	0	0	NpcSet:FindNpcByTemplateID(49):TalkAroundID(394,0)	0	她好像一开始就知道黑暗教会要复活魔王，也知道兽人不可信…	48	104	0	那她为什么待在这儿呢？	0	80	0	似乎…在等一个人…	48	75	0	等谁？？	0	-1	0	你去问问黛西吧，她俩关系比较好…	48	80	0	另外，我得知了兽人提升实力的方法，让冰雪女王试试吧…	48	75	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
28	9级 第4个对话 交	0	0	0		0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
29	9级 第1个对话 接	0	0	0	NpcSet:FindNpcByTemplateID(47):TalkAroundID(395,0)	0	她也许有秘密，但她和你一样，有一颗勇敢、善良的心…	47	80	0	她今天又去了秘密联络点，那儿可能有你要的线索…	47	75	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
30	9级 第2个对话 交	0	0	0		0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
31	10级 第3个对话 接	0	0	0	NpcSet:FindNpcByTemplateID(47):TalkAroundID(396,0)	0	没…我还是直接去问阿尔芭吧…	0	80	0	等等，一直没来得及向你道谢，哥哥让我把锻造装备的方法教给你…	47	79	0	太好了，帮我谢谢弗兰德…	0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
32	10级 第4个对话 交	0	0	0		0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
33	10级 第1个对话 接	0	0	0	NpcSet:FindNpcByTemplateID(46):TalkAroundID(397,0)	0	我还有事情想问你…	0	80	0	我可没这个义务告诉你哦~	46	75	0	（扶额）…你似乎知道很多格尼薇儿的事，我却一无所知。要知道，这对我很重要…	0	80	0	你想知道？…那得先帮我报仇<C=55>，为了从兽人那知道格尼薇儿的消息，我都被他们打伤了…	46	104	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
34	10级 第2个对话 交	0	0	0		0	仇我已经报了，现在回答我的问题吧！	0	80	0	你在等谁？	0	-1	0	<C=82>你~~~	46	75	0	我？？？为什么等我？？？	0	80	0	因为一个伟大的预言…	46	104	0	…预言？我很认真的问你，你也应该认真的回答！	0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
35	10级 第3个对话 接	0	0	0		0	算了，你一直都在耍我，我就不应该指望你告诉我答案…	0	80	0	我还是赶紧完成使命，去失落大陆找格尼薇儿	0	-1	0	去失落大陆？你需要准备的东西…多着呢~	46	80	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
36	10级 第4个对话 交	0	0	0		0	怎么样？厉害吧？想感谢我的话，就带我一起去吧<C=68> 	46	75	0	你去失落大陆做什么？	0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
37	11级 第1个对白 接	0	0	0	NpcSet:FindNpcByTemplateID(46):TalkAroundID(399,0)	0	你？你的秘密太多，又不告诉我，我不带你去…	0	80	0	哼！那你自己去吧！看你一个人怎么找得到！	46	75	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
38	11级 第2个对白 交	0	0	0		0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
39	11级 第3个对白 接	0	0	0		0	<C=54>啊…啊…这个…我是来和你道别的…	0	80	0	<C=48>迷路了吧？真不让人省心，这样怎么去失落大陆…我送你一个礼物吧，能大幅提升小伙伴的实力，不至于以后迷路了被人欺负…	46	80	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
40	11级 第4个对白 交	0	0	0		0	路上要经常突破小伙伴，会实力大增~	46	-1	0	失落大陆具体位置我也不清楚，只知道要穿过王城，而去王城就必须先去罗兰度市集…明白了吗？	46	104	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
41	11级 第5个对白 接	0	0	0	NpcSet:FindNpcByTemplateID(46):TalkAroundID(420,0)	0	（思考了一会儿<C=63><C=63><C=63>）…喂…你要一起来吗？	0	80	0	咦？你想通啦？	46	104	0	…别啰嗦了！还不快跟上！	0	80	0	<C=36>走喽，罗兰度我来啦~	46	75	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
42	12级 第4个对话 交（新加任务用，暂不使用）	0	0	0		0	黑死病？！怎么会？	0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
43	12级 第5个对话 接（新加任务用，暂不使用）	0	0	0	NpcSet:FindNpcByTemplateID(51):TalkAroundID(470,0)	0	它们不仅攻击人类，还通过邪恶的祭祀仪式制造了黑死病…	51	-1	0	奥拉庇佑，难道它们在罗兰度也要举行这邪恶的仪式吗？！	51	-1	0	王城？你是说王城？	0	-1	0	是的，我的养女阿米尔刚从王城回来，目睹了这场灾难，你可以去问问她 …	51	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
44	可用	0	0	0		0		0	-1	0	这其中肯定有阴谋…也许和复活魔王有关…	350	-1	0	…我记得，在黑暗教会中好像有个叫阿尔芭的女孩说过格尼薇儿什么的…	350	-1	0	啊！…阿尔芭…难道阿尔芭是黑暗教会的人？我必须得调查她！	0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
45	可用	0	0	0		0		0	-1	0	那个人？	0	-1	0	愚蠢的人类，你没有资格询问我！	351	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
46	可用	0	0	0		0		0	-1	0	糟糕…好像迷路了…果然还是应该带上阿尔芭那个丫头…	0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
47	可用	0	0	0		0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
48	11级 第6个对话 交	0	0	0		0	我的孩子，欢迎来到罗兰度！	51	-1	0	很抱歉，现在是非常时期，为防止使用黑暗力量的人混入城内…	51	104	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
49	12级 第1个对话 接	0	0	0	NpcSet:FindNpcByTemplateID(51):TalkAroundID(469,0)	0	没问题，只是发生了什么？我看这里并没有与往日不同…	0	80	0	是不死族！它们在城外鬼雾亡塚集结，已经有人被袭受伤了，只是城内居民还不知情…	51	75	0	不死族主动攻击人类？这不可能…	0	80	0	（凝重）它们和兽人一样，已经和黑暗教会勾结了…	52	-1	0	黑暗教会…正愁找不到他们！我们去鬼雾亡塚看看不死族在搞什么鬼！	0	80	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
50	废弃可用	0	0	0		0	你们回来了！能告诉我现在城外的情况吗？	51	-1	0	不死族一直都单独行动，可这次它们聚集在一个祭坛边，似乎在准备什么…	52	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
51	12级 第3个对话 接	0	0	0		0	能告诉我现在城外的情况吗？	51	-1	0	不死族一直都单独行动，可这次它们聚集在一个祭坛边，似乎在准备什么…	52	-1	0	天啊！难道它们要传播黑死病？	51	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
52	12级 第6个对话 交	0	0	0		0	阿米尔吗？我是<PL=N>，想问一下王城现在的情况，我必须尽快去那里…	0	80	0	<PL=N>，我劝你不要在这个时候去王城…	54	79	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
53	13级 第1个对话 接	0	0	0	NpcSet:FindNpcByTemplateID(54):TalkAroundID(471,0)	0	先是一位老人感染，继而一条街…最后…整个王城都被瘟疫笼罩，到处都是将死的病人、可怕的哀嚎…	54	104	0	幸存者都在逃离…有人曾经看到不死族在城外举行邪恶仪式，向王城散播黑气…	54	80	0	看来是不死族制造了黑死病…	0	80	0	太可怕了…只是不死族和人类一直没有往来…我想，这一定是黑暗教会捣鬼！	52	-1	0	不死族肯定知道什么，我这就去找它们！	0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
54	13级 第2个对话 交	0	0	0		0	神父，不死族已经确定和黑暗教会勾结了！	0	80	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
55	13级 第3个对话 接	0	0	0	NpcSet:FindNpcByTemplateID(51):TalkAroundID(472,0)	0	为什么突然如此高调行动…三百多年前，黑暗教会、兽人还有不死族都是魔王的追随者，难道…	51	75	0	不行，我必须回王城报知亚瑟王！	51	104	0	请帮我告诉阿米尔，让她和我一起离开…	51	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
56	13级 第4个对话 交	0	0	0		0	啊！难道真的如伊苏所说…	54	79	0	伊苏？好耳熟的名字！	52	-1	0	你认识伊苏吗？他是一位伟大的吟游诗人，也是我爱的人…他一直在谱写魔王葬歌，他的理想不是封印魔王，而是真正地杀死魔王！	54	80	0	伊苏说了什么？	0	80	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
57	14级 第1个对话 接	0	0	0	NpcSet:FindNpcByTemplateID(54):TalkAroundID(473,0)	0	（悄声）哼，没想到，伊苏那小子也拥有预言碎片！	52	-1	0	伊苏还说，一位银发女子，会成为这场战争的关键…	54	80	0	银发女子？难道是格尼薇儿？	0	80	0	啊！正是这个名字，伊苏说，她并非人族，而她的出现…	54	79	0	别再说了，神父还在等你，快去找他。我们还得再去鬼雾亡塚查探一下！	52	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
58	14级 第2个对话 交	0	0	0		0	阿米尔，你怎么还没走？	0	-1	0	你总算来了，刚刚威尔斯利公爵来找我，可我帮不了他…	54	75	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
59	14级 第3个对话 接	0	0	0	NpcSet:FindNpcByTemplateID(54):TalkAroundID(474,0)	0	出了什么事了？	52	80	0	公爵夫妇有要紧事要通过罗兰度前往王城，可是神父认定公爵夫人是黑暗教会的人而拒绝了他们…	54	79	0	黑暗教会？！那一定要问清楚了…	0	80	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
60	14级 第4个对话 交	0	0	0		0	我的夫人玛蒂尔德虽然曾经属于黑暗教会，但并非她本意…	53	104	0	一知道黑暗教会的阴谋，我们就冒着被追杀的危险来到罗兰度…	53	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1	0		0	-1
